dis,date,jv number,jv,credit,debit
شيك رقم 1014498 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,34448.24,0.0
شيك رقم 1026190 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,50110.83,0.0
شيك رقم 1016116 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,8278.01,0.0
شيك رقم 1010595 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,25127.04,0.0
شيك رقم 1018420 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,15463.52,0.0
شيك رقم 1075909 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,33536.58,0.0
شيك رقم 1058650 من اللولو تاريخ 15/1,15/01/2024,2024226,G.Ledger,35295.39,0.0
دفعة لمحسن ديزل,16/01/2024,2024155,Payments,0.0,1000.0
على بكور دفعة,16/01/2024,2024158,Payments,0.0,200.0
شمسير دفعة من الكاش,16/01/2024,2024159,Payments,0.0,100.0
جرين بوينت شيك رقم 812 تاريخ 7-2-2024,16/01/2024,20241,N.P,0.0,42989.0
القطرية حمدان شيك رقم 813 تاريخ 20-2-2024,16/01/2024,20242,N.P,0.0,41288.0
شيك رقم 115629 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,18269.16,0.0
شيك رقم 1016354 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,11398.9,0.0
شيك رقم 122228 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,17698.01,0.0
شيك رقم 1036468 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,62357.14,0.0
شيك رقم 1043817من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,42514.08,0.0
شيك رقم 1019308 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,19809.48,0.0
شيك رقم 12717 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,12224.42,0.0
شيك رقم 1006812 من اللولو تاريخ 15/1,18/01/2024,2024227,G.Ledger,46421.51,0.0
دفعة الى التوريدات من محمد,18/01/2024,2024185,G.Ledger,0.0,200.0
شيك رقم 1001731 من اللولو تاريخ 15/1,21/01/2024,2024228,G.Ledger,4578.58,0.0
شيك من اللولو رقم 1004045,21/01/2024,2024228,G.Ledger,19989.05,0.0
شيك رقم 1021878 من اللولو تاريخ 15/1,21/01/2024,2024228,G.Ledger,7488.17,0.0
تحويل الى محى الدين ستاركينج,21/01/2024,2024216,Payments,0.0,20000.0
دفعة الى التوريدات بيد محمد,23/01/2024,2024238,Payments,0.0,200.0
جنة بلدنا دفعة,25/01/2024,2024320,Receipts,21000.0,0.0
شيك رقم 1031070 من السعودية تاريخ 25/1,25/01/2024,2024229,G.Ledger,18630.0,0.0
توريدات دفعة من حسن,25/01/2024,2024244,Payments,0.0,3260.0
توريدات دفعة من حسن,25/01/2024,2024245,Payments,0.0,10000.0
توريدات دفعة من حسن,25/01/2024,2024246,Payments,0.0,2000.0
توريدات دفعة من حسن,25/01/2024,2024247,Payments,0.0,2000.0
توريدات دفعة من حسن,25/01/2024,2024248,Payments,0.0,500.0
تحويل من سبار على الاسلامى,28/01/2024,2024298,Receipts,153767.91,0.0
تحسين شيك رقم 817 تاريخ 22-2-2024,28/01/2024,20246,N.P,0.0,31571.0
تحسين شيك رقم 818 تاريخ 8-3-2024,28/01/2024,20247,N.P,0.0,31571.0
مشتريات التوريدات لدى الرواسى شهر 11-2023,28/01/2024,2024187,G.Ledger,0.0,4060.0
دفعة الى التوريدات من محمد,28/01/2024,2024188,G.Ledger,0.0,90.0
رول سى ار,31/01/2024,2024352,Payments,0.0,100.0
دفعة من ياسين استلمها كوثر,31/01/2024,2024458,Payments,0.0,2000.0
قمة نصيب الاستور عن شهر 1-2024,31/01/2024,2024246,G.Ledger,0.0,17000.0
شيك رقم 1014754 من اللولو تاريخ 31/1,31/01/2024,2024230,G.Ledger,26574.75,0.0
