dis,date,jv number,jv,credit,debit
شيك رقم 1014498 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,34448.24,0.0
شيك رقم 1026190 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,50110.83,0.0
شيك رقم 1016116 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,8278.01,0.0
شيك رقم 1010595 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,25127.04,0.0
شيك رقم 1018420 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,15463.52,0.0
شيك رقم 1075909 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,33536.58,0.0
شيك رقم 1058650 من اللولو تاريخ 15/1,2024-01-15,2024226,G.Ledger,35295.39,0.0
شيك من اللولو رقم 1004045,2024-01-21,2024228,G.Ledger,19989.05,0.0
شيك رقم 1031070 من السعودية تاريخ 25/1,2024-01-25,2024229,G.Ledger,18630.0,0.0
تحويل من سبار على الاسلامى,2024-01-28,2024298,Receipts,153767.91,0.0
شيك رقم 1014754 من اللولو تاريخ 31/1,2024-01-31,2024230,G.Ledger,26574.75,0.0
