dis,date,jv number,jv,credit,debit
شيك رقم 115629 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,18269.16,0.0
شيك رقم 1016354 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,11398.9,0.0
شيك رقم 122228 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,17698.01,0.0
شيك رقم 1036468 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,62357.14,0.0
شيك رقم 1043817من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,42514.08,0.0
شيك رقم 1019308 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,19809.48,0.0
شيك رقم 12717 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,12224.42,0.0
شيك رقم 1006812 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,46421.51,0.0
شيك رقم 1001731 من اللولو تاريخ 15/1,2024-01-21,2024228,G.Ledger,4578.58,0.0
شيك من اللولو رقم 1004045,2024-01-21,2024228,G.Ledger,19989.05,0.0
شيك رقم 1021878 من اللولو تاريخ 15/1,2024-01-21,2024228,G.Ledger,7488.17,0.0
جنة بلدنا دفعة,2024-01-25,2024320,Receipts,21000.0,0.0
شيك رقم 1031070 من السعودية تاريخ 25/1,2024-01-25,2024229,G.Ledger,18630.0,0.0
شيك رقم 1014754 من اللولو تاريخ 31/1,2024-01-31,2024230,G.Ledger,26574.75,0.0
