dis,date,jv number,jv,credit,debit
دفعة بيد حسن لمحمود طارق 1500+1000,2024-01-01,20242,Payments,0.0,2500.0
دفعة بيد حسن 1390,2024-01-04,20243,Payments,0.0,1390.0
سلفة الى سائق رويال,2024-01-10,2024193,Payments,0.0,2000.0
دفعة الى شمسير,2024-01-10,202496,Payments,0.0,200.0
دفعة الى طارق بكور من حسن,2024-01-11,2024119,Payments,0.0,1000.0
دفعة الى محسن للديزل,2024-01-11,2024120,Payments,0.0,4000.0
توريدات دفعة من حسن,2024-01-25,2024244,Payments,0.0,3260.0
توريدات دفعة من حسن,2024-01-25,2024245,Payments,0.0,10000.0
توريدات دفعة من حسن,2024-01-25,2024246,Payments,0.0,2000.0
توريدات دفعة من حسن,2024-01-25,2024247,Payments,0.0,2000.0
توريدات دفعة من حسن,2024-01-25,2024248,Payments,0.0,500.0
دفعة الى روبيل من حمادة,2024-01-27,2024450,Payments,0.0,8000.0
واصل عامل التوريدات اسمه نجم مراجعة الاسم,2024-01-30,2024347,Payments,0.0,200.0
رول سى ار,2024-01-31,2024352,Payments,0.0,100.0
دفعة من ياسين استلمها كوثر,2024-01-31,2024458,Payments,0.0,2000.0
قمة نصيب الاستور عن شهر 1-2024,2024-01-31,2024246,G.Ledger,0.0,17000.0
