dis,date,jv number,jv,credit,debit
دفعة بيد حسن 1390,2024-01-04,20243,Payments,0.0,1390.0
سلفة الى سائق رويال,2024-01-10,2024193,Payments,0.0,2000.0
دفعة الى شمسير,2024-01-10,202496,Payments,0.0,200.0
دفعة الى طارق بكور من حسن,2024-01-11,2024119,Payments,0.0,1000.0
دفعة الى محسن للديزل,2024-01-11,2024120,Payments,0.0,4000.0
دفعة الى روبيل من حمادة,2024-01-27,2024450,Payments,0.0,8000.0
واصل عامل التوريدات اسمه نجم مراجعة الاسم,2024-01-30,2024347,Payments,0.0,200.0
رول سى ار,2024-01-31,2024352,Payments,0.0,100.0
دفعة من ياسين استلمها كوثر,2024-01-31,2024458,Payments,0.0,2000.0
قمة نصيب الاستور عن شهر 1-2024,2024-01-31,2024246,G.Ledger,0.0,17000.0
