dis,date,jv number,jv,credit,debit
شيك رقم 115629 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,18269.16,0.0
شيك رقم 1016354 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,11398.9,0.0
شيك رقم 122228 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,17698.01,0.0
شيك رقم 1036468 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,62357.14,0.0
شيك رقم 1043817من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,42514.08,0.0
شيك رقم 1019308 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,19809.48,0.0
شيك رقم 12717 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,12224.42,0.0
شيك رقم 1006812 من اللولو تاريخ 15/1,2024-01-18,2024227,G.Ledger,46421.51,0.0
دفعة الى التوريدات من محمد,2024-01-18,2024185,G.Ledger,0.0,200.0
شيك رقم 1001731 من اللولو تاريخ 15/1,2024-01-21,2024228,G.Ledger,4578.58,0.0
شيك من اللولو رقم 1004045,2024-01-21,2024228,G.Ledger,19989.05,0.0
شيك رقم 1021878 من اللولو تاريخ 15/1,2024-01-21,2024228,G.Ledger,7488.17,0.0
تحويل الى محى الدين ستاركينج,2024-01-21,2024216,Payments,0.0,20000.0
دفعة الى التوريدات بيد محمد,2024-01-23,2024238,Payments,0.0,200.0
جنة بلدنا دفعة,2024-01-25,2024320,Receipts,21000.0,0.0
شيك رقم 1031070 من السعودية تاريخ 25/1,2024-01-25,2024229,G.Ledger,18630.0,0.0
توريدات دفعة من حسن,2024-01-25,2024244,Payments,0.0,3260.0
توريدات دفعة من حسن,2024-01-25,2024245,Payments,0.0,10000.0
توريدات دفعة من حسن,2024-01-25,2024246,Payments,0.0,2000.0
توريدات دفعة من حسن,2024-01-25,2024247,Payments,0.0,2000.0
توريدات دفعة من حسن,2024-01-25,2024248,Payments,0.0,500.0
تحويل من سبار على الاسلامى,2024-01-28,2024298,Receipts,153767.91,0.0
تحسين شيك رقم 817 تاريخ 22-2-2024,2024-01-28,20246,N.P,0.0,31571.0
تحسين شيك رقم 818 تاريخ 8-3-2024,2024-01-28,20247,N.P,0.0,31571.0
مشتريات التوريدات لدى الرواسى شهر 11-2023,2024-01-28,2024187,G.Ledger,0.0,4060.0
دفعة الى التوريدات من محمد,2024-01-28,2024188,G.Ledger,0.0,90.0
رول سى ار,2024-01-31,2024352,Payments,0.0,100.0
دفعة من ياسين استلمها كوثر,2024-01-31,2024458,Payments,0.0,2000.0
قمة نصيب الاستور عن شهر 1-2024,2024-01-31,2024246,G.Ledger,0.0,17000.0
شيك رقم 1014754 من اللولو تاريخ 31/1,2024-01-31,2024230,G.Ledger,26574.75,0.0
