dis,date,jv number,jv,credit,debit
دفعه من حسن لحساب الطارق,2024-01-02,20242,Receipts,1390.0,0.0
دفعه من محمد حسنين,2024-01-03,20243,Receipts,100.0,0.0
دفعه من  حسن فب المكتب,2024-01-03,20242,G.Ledger,1000.0,0.0
من محمد حسنين,2024-01-04,20244,Receipts,50.0,0.0
من عم/طارق,2024-01-04,20245,Receipts,500.0,0.0
دفعه لي راتب كبير,2024-01-04,20246,Receipts,1000.0,0.0
دفعه من حسن,2024-01-09,20249,Receipts,200.0,0.0
تحويل بتاريخ 9/1/2024  عن نص 11 لاول سبار,2024-01-09,20248,G.Ledger,0.0,151904.72
دفعه من محمد حسنين في  المكتب,2024-01-09,202429,G.Ledger,2000.0,0.0
موصلاات عمل رويال  في الاستور,2024-01-09,2024461,G.Ledger,100.0,0.0
دفعه  تحويل,2024-01-09,2024671,G.Ledger,20000.0,0.0
دفعه بيد حسن لي الديزل,2024-01-10,202430,G.Ledger,4000.0,0.0
دفعه الي طارق,2024-01-10,202410,Receipts,1000.0,0.0
دفعه بيد حسن,2024-01-11,202412,Receipts,500.0,0.0
دفعة الى هشام فى الاستور بيد حسن,2024-01-11,2024160,G.Ledger,5000.0,0.0
دفعه بيد حسن الي عاطف كاش,2024-01-11,202452,G.Ledger,8244.0,0.0
دفعه التوردات ديزل,2024-01-11,2024462,G.Ledger,200.0,0.0
تجديد سيارة الحادث,2024-01-11,2024462,G.Ledger,150.0,0.0
دفعة الى هشام فى الاستور بيد حسن,2024-01-11,2024160,G.Ledger,5000.0,0.0
شيك جرين بوينت,2024-01-16,202414,Receipts,42989.0,0.0
علي بكور  دفعه من الاستور,2024-01-16,2024463,G.Ledger,200.0,0.0
شمسير دفعه من الاستور,2024-01-16,2024463,G.Ledger,100.0,0.0
شيك حمدان عن شهر 11 اقفال حتي 2023,2024-01-16,2024115,G.Ledger,41288.0,0.0
دغعه الي الديزل في الاستور بيد شريف,2024-01-16,2024128,G.Ledger,1000.0,0.0
دفعه من ياسين البنجالي الي كوثر,2024-01-16,2024126,G.Ledger,2000.0,0.0
CHEQUE LULU CENTRE NO.01016116,2024-01-16,2024116,G.Ledger,0.0,8278.01
CHEQUE LULU HILAL NO.1018420,2024-01-16,2024117,G.Ledger,0.0,15463.52
CHEQUE LULU BUSIDRA NO.01010595,2024-01-16,2024118,G.Ledger,0.0,25127.04
CHEQUE LULU GHARAFA NO.01075909,2024-01-16,2024119,G.Ledger,0.0,33536.58
CHEQUE LULU STORE NO.01014498,2024-01-16,2024120,G.Ledger,0.0,34448.24
CHEQUE LULU ALKHOR NO.1058650,2024-01-16,2024121,G.Ledger,0.0,35295.39
CHEQUE LULU D RING ROAD NO.01026190,2024-01-16,2024123,G.Ledger,0.0,50110.83
دفعه الي محسن  من حست بيد جعفر,2024-01-17,2024127,G.Ledger,2000.0,0.0
دفعه من فيزه حسن لي كبير,2024-01-17,202415,Receipts,1000.0,0.0
دفع سكن روبل  بيد حسن,2024-01-17,202416,Receipts,1500.0,0.0
