dis,date,jv number,jv,credit,debit
دفعه من محمد حسنين,2024-01-03,20243,Receipts,100.0,0.0
دفعه من  حسن فب المكتب,2024-01-03,20242,G.Ledger,1000.0,0.0
من محمد حسنين,2024-01-04,20244,Receipts,50.0,0.0
من عم/طارق,2024-01-04,20245,Receipts,500.0,0.0
دفعه لي راتب كبير,2024-01-04,20246,Receipts,1000.0,0.0
دفعه من حسن,2024-01-09,20249,Receipts,200.0,0.0
دفعه من محمد حسنين في  المكتب,2024-01-09,202429,G.Ledger,2000.0,0.0
موصلاات عمل رويال  في الاستور,2024-01-09,2024461,G.Ledger,100.0,0.0
دفعه  تحويل,2024-01-09,2024671,G.Ledger,20000.0,0.0
دفعه بيد حسن لي الديزل,2024-01-10,202430,G.Ledger,4000.0,0.0
دفعه الي طارق,2024-01-10,202410,Receipts,1000.0,0.0
دفعه بيد حسن,2024-01-11,202412,Receipts,500.0,0.0
دفعة الى هشام فى الاستور بيد حسن,2024-01-11,2024160,G.Ledger,5000.0,0.0
دفعه بيد حسن الي عاطف كاش,2024-01-11,202452,G.Ledger,8244.0,0.0
دفعه التوردات ديزل,2024-01-11,2024462,G.Ledger,200.0,0.0
تجديد سيارة الحادث,2024-01-11,2024462,G.Ledger,150.0,0.0
دفعة الى هشام فى الاستور بيد حسن,2024-01-11,2024160,G.Ledger,5000.0,0.0
شيك جرين بوينت,2024-01-16,202414,Receipts,42989.0,0.0
علي بكور  دفعه من الاستور,2024-01-16,2024463,G.Ledger,200.0,0.0
شمسير دفعه من الاستور,2024-01-16,2024463,G.Ledger,100.0,0.0
شيك حمدان عن شهر 11 اقفال حتي 2023,2024-01-16,2024115,G.Ledger,41288.0,0.0
دغعه الي الديزل في الاستور بيد شريف,2024-01-16,2024128,G.Ledger,1000.0,0.0
دفعه من ياسين البنجالي الي كوثر,2024-01-16,2024126,G.Ledger,2000.0,0.0
دفعه الي محسن  من حست بيد جعفر,2024-01-17,2024127,G.Ledger,2000.0,0.0
دفعه من فيزه حسن لي كبير,2024-01-17,202415,Receipts,1000.0,0.0
دفع سكن روبل  بيد حسن,2024-01-17,202416,Receipts,1500.0,0.0
دفعه بيد محمد حسنين,2024-01-17,202418,Receipts,500.0,0.0
دفعه من محمد حسنين الي علي لي الاوبر,2024-01-18,202417,Receipts,200.0,0.0
دفعه من حماده الي روبيل +850 من حسن,2024-01-18,2024129,G.Ledger,10000.0,0.0
من درج حسن,2024-01-20,202420,Receipts,500.0,0.0
اقفال فواتير سي ار حتي 20/1/2024,2024-01-20,2024246,G.Ledger,91518.0,0.0
اقفال فواتيرسبار حتي 20/1/2024,2024-01-20,2024246,G.Ledger,71852.0,0.0
دفعه من درج حسن 160 عشارات و 3الف فائه 200 رلي رواتب و سكند اوردر,2024-01-20,202419,Receipts,3260.0,0.0
دفعه من فيزا حسن,2024-01-21,2024140,G.Ledger,2000.0,0.0
دفعه من محمد حسنين الي محمج علي اوبر,2024-01-21,202421,Receipts,40.0,0.0
تحويل الى محى الدين ستاركينج,2024-01-21,2024161,G.Ledger,20000.0,0.0
دفعه بيد حسن,2024-01-24,2024157,G.Ledger,2000.0,0.0
رول من الاستور,2024-01-24,2024464,G.Ledger,190.0,0.0
دفعه من محمد حسنين,2024-01-24,202422,Receipts,200.0,0.0
شيك الايمان رقم 815 مشتريات شهر 12  استحقاق تاريخ 26/2/2024,2024-01-27,2024217,G.Ledger,36882.0,0.0
شيك الايمان رقم 814مشتريات شهر 12  استحقاق تاريخ 15/2/2024,2024-01-27,2024217,G.Ledger,36882.0,0.0
دفعه بيد حسن,2024-01-27,202423,Receipts,5000.0,0.0
دفعه بيد حسن,2024-01-27,2024249,G.Ledger,5000.0,0.0
دفعه بيد حسن الي شرف,2024-01-28,2024250,G.Ledger,10000.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 817 بتاريخ 22/2,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 818بتاريخ 08/03/,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حسال الرواسي شهر 11,2024-01-28,2024247,G.Ledger,4060.0,0.0
دفعه من محمد حسنين,2024-01-28,202424,Receipts,90.0,0.0
دفعه بيد شمسير ايجار سياره شمسير,2024-01-28,2024244,G.Ledger,10000.0,0.0
دفعه من روهيل,2024-01-29,202425,Receipts,7000.0,0.0
دفعه من سليم هندي,2024-01-29,202426,Receipts,5000.0,0.0
تجويل من محمد حسنين,2024-01-29,2024254,G.Ledger,1000.0,0.0
بترول لهشام من الحكمه,2024-01-29,2024458,G.Ledger,100.0,0.0
دفعه بيد حسن,2024-01-30,2024257,G.Ledger,1000.0,0.0
دفعه بيد حسن,2024-01-31,202427,Receipts,1000.0,0.0
ايجار الاستور شهر 1,2024-01-31,2024636,G.Ledger,16000.0,0.0
رول سي ار,2024-01-31,2024459,G.Ledger,200.0,0.0
