dis,date,jv number,jv,credit,debit
شيك كرفور رقم 363002,2024-01-08,20246,G.Ledger,0.0,693369.13
تحويل بتاريخ 9/1/2024  عن نص 11 لاول سبار,2024-01-09,20248,G.Ledger,0.0,151904.72
CHEQUE LULU CENTRE NO.01016116,2024-01-16,2024116,G.Ledger,0.0,8278.01
CHEQUE LULU HILAL NO.1018420,2024-01-16,2024117,G.Ledger,0.0,15463.52
CHEQUE LULU BUSIDRA NO.01010595,2024-01-16,2024118,G.Ledger,0.0,25127.04
CHEQUE LULU GHARAFA NO.01075909,2024-01-16,2024119,G.Ledger,0.0,33536.58
CHEQUE LULU STORE NO.01014498,2024-01-16,2024120,G.Ledger,0.0,34448.24
CHEQUE LULU ALKHOR NO.1058650,2024-01-16,2024121,G.Ledger,0.0,35295.39
CHEQUE LULU D RING ROAD NO.01026190,2024-01-16,2024123,G.Ledger,0.0,50110.83
CHEQUE LULU B RING ROAD NO.1016354,2024-01-18,2024130,G.Ledger,0.0,11398.9
CHEQUE LULU BIN MAHMOUD NO.00012717,2024-01-18,2024131,G.Ledger,0.0,12224.42
CHEQUE LULU SALWA ROAD NO.00122228,2024-01-18,2024132,G.Ledger,0.0,17698.01
CHEQUE LULU MESHAF NO.00115629,2024-01-18,2024133,G.Ledger,0.0,18269.16
CHEQUE LULU EZDAN OASIS NO.01019308,2024-01-18,2024134,G.Ledger,0.0,19809.48
CHEQUE LULU PEARL NO.01004045,2024-01-18,2024135,G.Ledger,0.0,19989.05
CHEQUE LULU BARWA NO.1043817,2024-01-18,2024136,G.Ledger,0.0,42514.08
CHEQUE LULU AINKHALID NO.01006812,2024-01-18,2024137,G.Ledger,0.0,46421.51
CHEQUE LULU MESSILA NO.1036468,2024-01-18,2024138,G.Ledger,0.0,62357.14
CHEQUE LULU MDEENATH NO.01001731,2024-01-21,2024141,G.Ledger,0.0,4578.58
CHEQUE LULU EXPRESS RAYAN NO.1021878,2024-01-21,2024142,G.Ledger,0.0,7488.17
تجويل سبار تاريخ 22/1/2024 عن النص التاني من شهر 11/2023,2024-01-22,2024156,G.Ledger,0.0,153767.91
CHEQUE SAUDIA HYPERMARKET NO.1031070,2024-01-23,2024149,G.Ledger,0.0,18630.0
دفعه جنه بلدنا  اخدهم محمد في الاستور,2024-01-25,2024158,G.Ledger,0.0,21000.0
دفعه محد شريف  في الاستور,2024-01-29,2024248,G.Ledger,0.0,7000.0
دفعه الي محمد شريف,2024-01-30,2024255,G.Ledger,0.0,4000.0
خصم المندرين الكاش,2024-01-31,2024258,G.Ledger,0.0,1500.0
ديزل شهر 1,2024-01-31,2024274,G.Ledger,0.0,1750.0
