dis,date,jv number,jv,credit,debit
CHEQUE LULU CENTRE NO.01016116,2024-01-16,2024116,G.Ledger,0.0,8278.01
CHEQUE LULU HILAL NO.1018420,2024-01-16,2024117,G.Ledger,0.0,15463.52
CHEQUE LULU BUSIDRA NO.01010595,2024-01-16,2024118,G.Ledger,0.0,25127.04
CHEQUE LULU GHARAFA NO.01075909,2024-01-16,2024119,G.Ledger,0.0,33536.58
CHEQUE LULU STORE NO.01014498,2024-01-16,2024120,G.Ledger,0.0,34448.24
CHEQUE LULU ALKHOR NO.1058650,2024-01-16,2024121,G.Ledger,0.0,35295.39
CHEQUE LULU D RING ROAD NO.01026190,2024-01-16,2024123,G.Ledger,0.0,50110.83
CHEQUE LULU PEARL NO.01004045,2024-01-18,2024135,G.Ledger,0.0,19989.05
تجويل سبار تاريخ 22/1/2024 عن النص التاني من شهر 11/2023,2024-01-22,2024156,G.Ledger,0.0,153767.91
CHEQUE SAUDIA HYPERMARKET NO.1031070,2024-01-23,2024149,G.Ledger,0.0,18630.0
خصم المندرين الكاش,2024-01-31,2024258,G.Ledger,0.0,1500.0
ديزل شهر 1,2024-01-31,2024274,G.Ledger,0.0,1750.0
