dis,date,jv number,jv,credit,debit
شيك جرين بوينت,2024-01-16,202414,Receipts,42989.0,0.0
علي بكور  دفعه من الاستور,2024-01-16,2024463,G.Ledger,200.0,0.0
شمسير دفعه من الاستور,2024-01-16,2024463,G.Ledger,100.0,0.0
شيك حمدان عن شهر 11 اقفال حتي 2023,2024-01-16,2024115,G.Ledger,41288.0,0.0
دغعه الي الديزل في الاستور بيد شريف,2024-01-16,2024128,G.Ledger,1000.0,0.0
دفعه من ياسين البنجالي الي كوثر,2024-01-16,2024126,G.Ledger,2000.0,0.0
CHEQUE LULU CENTRE NO.01016116,2024-01-16,2024116,G.Ledger,0.0,8278.01
CHEQUE LULU HILAL NO.1018420,2024-01-16,2024117,G.Ledger,0.0,15463.52
CHEQUE LULU BUSIDRA NO.01010595,2024-01-16,2024118,G.Ledger,0.0,25127.04
CHEQUE LULU GHARAFA NO.01075909,2024-01-16,2024119,G.Ledger,0.0,33536.58
CHEQUE LULU STORE NO.01014498,2024-01-16,2024120,G.Ledger,0.0,34448.24
CHEQUE LULU ALKHOR NO.1058650,2024-01-16,2024121,G.Ledger,0.0,35295.39
CHEQUE LULU D RING ROAD NO.01026190,2024-01-16,2024123,G.Ledger,0.0,50110.83
دفعه من محمد حسنين الي علي لي الاوبر,2024-01-18,202417,Receipts,200.0,0.0
دفعه من حماده الي روبيل +850 من حسن,2024-01-18,2024129,G.Ledger,10000.0,0.0
CHEQUE LULU B RING ROAD NO.1016354,2024-01-18,2024130,G.Ledger,0.0,11398.9
CHEQUE LULU BIN MAHMOUD NO.00012717,2024-01-18,2024131,G.Ledger,0.0,12224.42
CHEQUE LULU SALWA ROAD NO.00122228,2024-01-18,2024132,G.Ledger,0.0,17698.01
CHEQUE LULU MESHAF NO.00115629,2024-01-18,2024133,G.Ledger,0.0,18269.16
CHEQUE LULU EZDAN OASIS NO.01019308,2024-01-18,2024134,G.Ledger,0.0,19809.48
CHEQUE LULU PEARL NO.01004045,2024-01-18,2024135,G.Ledger,0.0,19989.05
CHEQUE LULU BARWA NO.1043817,2024-01-18,2024136,G.Ledger,0.0,42514.08
CHEQUE LULU AINKHALID NO.01006812,2024-01-18,2024137,G.Ledger,0.0,46421.51
CHEQUE LULU MESSILA NO.1036468,2024-01-18,2024138,G.Ledger,0.0,62357.14
دفعه من فيزا حسن,2024-01-21,2024140,G.Ledger,2000.0,0.0
CHEQUE LULU MDEENATH NO.01001731,2024-01-21,2024141,G.Ledger,0.0,4578.58
CHEQUE LULU EXPRESS RAYAN NO.1021878,2024-01-21,2024142,G.Ledger,0.0,7488.17
دفعه من محمد حسنين الي محمج علي اوبر,2024-01-21,202421,Receipts,40.0,0.0
تحويل الى محى الدين ستاركينج,2024-01-21,2024161,G.Ledger,20000.0,0.0
تحويل من محمد حسنين الي محمد علي,2024-01-23,2024245,G.Ledger,200.0,0.0
CHEQUE SAUDIA HYPERMARKET NO.1031070,2024-01-23,2024149,G.Ledger,0.0,18630.0
دفعه جنه بلدنا  اخدهم محمد في الاستور,2024-01-25,2024158,G.Ledger,0.0,21000.0
دفعه بيد حسن الي شرف,2024-01-28,2024250,G.Ledger,10000.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 817 بتاريخ 22/2,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حساب شهر 12 تحسين شيك رقم 818بتاريخ 08/03/,2024-01-28,2024251,G.Ledger,31571.0,0.0
اقفال حسال الرواسي شهر 11,2024-01-28,2024247,G.Ledger,4060.0,0.0
دفعه من محمد حسنين,2024-01-28,202424,Receipts,90.0,0.0
دفعه بيد شمسير ايجار سياره شمسير,2024-01-28,2024244,G.Ledger,10000.0,0.0
خصم المندرين الكاش,2024-01-31,2024258,G.Ledger,0.0,1500.0
ديزل شهر 1,2024-01-31,2024274,G.Ledger,0.0,1750.0
دفعه بيد حسن,2024-01-31,202427,Receipts,1000.0,0.0
ايجار الاستور شهر 1,2024-01-31,2024636,G.Ledger,16000.0,0.0
رول سي ار,2024-01-31,2024459,G.Ledger,200.0,0.0
