dis,date,jv number,jv,credit,debit
دفعة للتوريدات,2024-03-02,2024639,Payments,0.0,8000.0
دفعة من علي لمحسن للديزل,2024-03-02,2024641,Payments,0.0,2000.0
دفعة للتوريدات,2024-03-03,2024649,Payments,0.0,210.0
دفعة للتوريدات 4600+500,2024-03-04,2024651,Payments,0.0,5100.0
دفعة للتوريدات راتب عامل,2024-03-04,2024653,Payments,0.0,2000.0
دفعة لمحسن للديزل,2024-03-04,2024654,Payments,0.0,2000.0
تحويل لشركة نيل مصر رصيد حساب,2024-03-04,2024282,G.Ledger,0.0,9355.0
سداد بهر الله بشيك رقم 840 تاريخ 21/3,2024-03-04,202426,N.P,0.0,15000.0
دفعة للتوريدات,2024-03-05,2024656,Payments,0.0,660.0
دفعة للتوريدات,2024-03-06,2024657,Payments,0.0,22200.0
دفعة للرواتب بيد شرف,2024-03-06,2024666,Payments,0.0,15000.0
الاذكياء - سداد شهر 2 بشيك رقم 841 تاريخ 8/5,2024-03-06,202427,N.P,0.0,52542.0
تحويل دفعة لحمدان تخصم من الرصيد المستحق,2024-03-06,2024306,G.Ledger,0.0,15000.0
خصم بضاعة القطرية من حساب حمدان,2024-03-07,2024307,G.Ledger,0.0,6715.0
دفعة للتوريدات,2024-03-07,2024668,Payments,0.0,2200.0
نصيب التوريدات من رول الاستور,2024-03-07,2024670,Payments,0.0,1450.0
رول سي ار,2024-03-08,2024346,G.Ledger,0.0,220.0
دفعة لشمسير من الاستور,2024-03-09,2024370,G.Ledger,0.0,100.0
اقفال مشتريات سبار في التوردات,2024-03-09,2024396,G.Ledger,0.0,82758.0
دفعة للتوريدات,2024-03-09,2024700,Payments,0.0,950.0
دفعة لمحسن للديزل,2024-03-09,2024701,Payments,0.0,2000.0
دفعة لشامسير,2024-03-09,2024711,Payments,0.0,200.0
دفعة للتوريدات,2024-03-10,2024706,Payments,0.0,1030.0
دفعة لسواق رويال عاشق,2024-03-10,2024708,Payments,0.0,2000.0
رول سبار,2024-03-10,2024371,G.Ledger,0.0,200.0
اكياس جنة بلدنا,2024-03-10,2024371,G.Ledger,0.0,100.0
تحويل لمحمود طارق ومحمد علي,2024-03-11,2024369,G.Ledger,0.0,300.0
سكند اوردر سي ار,2024-03-11,2024712,Payments,0.0,90.0
دفعة للتوريدات,2024-03-12,2024718,Payments,0.0,7400.0
رول سي ار,2024-03-12,2024375,G.Ledger,0.0,200.0
دفعة للتوريدات,2024-03-13,2024721,Payments,0.0,5270.0
دفعة للتوريدات 8000+500,2024-03-14,2024723,Payments,0.0,8500.0
دفعة لشركة الهمة,2024-03-14,2024727,Payments,0.0,20000.0
دفعة لحمدي من بطاقة محمود,2024-03-14,2024383,G.Ledger,0.0,5500.0
خصم افوكادو سليم هندي,2024-03-14,2024376,G.Ledger,0.0,15480.0
دفعة للتوريدات,2024-03-16,2024734,Payments,0.0,110.0
دفعة لشمسير من الاستور,2024-03-17,2024427,G.Ledger,0.0,100.0
دفعة للتوريدات,2024-03-17,2024737,Payments,0.0,2200.0
دفعة لشرف باقي الرواتب,2024-03-18,2024745,Payments,0.0,6000.0
دفعة لشركة الهمة,2024-03-18,2024746,Payments,0.0,10000.0
دفعة للتوريدات,2024-03-18,2024736,Payments,0.0,594.0
دفعة للتوريدات,2024-03-19,2024739,Payments,0.0,11120.0
رول سي ار من الاستور,2024-03-19,2024437,G.Ledger,0.0,200.0
دفعة لشرف من الاستور باقي رواتبه,2024-03-20,2024740,Payments,0.0,1500.0
دفعة للتوريدات,2024-03-20,2024748,Payments,0.0,3560.0
دفعة للتوريدات,2024-03-21,2024749,Payments,0.0,580.0
دفعة للتوريدات,2024-03-23,2024753,Payments,0.0,1555.0
دفعة للتوريدات,2024-03-25,2024787,Payments,0.0,130.0
شيك جبل الفواكة رقم 845 بتاريخ 4/4,2024-03-25,202430,N.P,0.0,10458.0
اغلاق بضاعة بسام ابو راشد لدى هشام,2024-03-26,2024434,G.Ledger,0.0,47890.0
دفعة لرنا ومحمد علي,2024-03-26,2024786,Payments,0.0,6200.0
تحويل 10000 ريال الى شركة كوبر,2024-03-26,2024797,Payments,0.0,10000.0
دفعة لسيف سببار,2024-03-27,2024807,Payments,0.0,1500.0
دفعة لمحمود طارق للايجار,2024-03-27,2024808,Payments,0.0,4000.0
دفعة للتوريدات,2024-03-27,2024791,Payments,0.0,5850.0
سداد القمة شهر 2 بشيك رقم 763 تاريخ 11/5,2024-03-27,202434,N.P,0.0,67143.0
دفعة للتوريدات,2024-03-28,2024792,Payments,0.0,3060.0
دفعة لشركة الهمة,2024-03-28,2024810,Payments,0.0,15000.0
دفع فاتورة الهواتف والانترنت,2024-03-28,2024481,G.Ledger,0.0,1000.0
دفعة لجرين بوينت شهر 2 بشيك رقم 848 تاريخ 17/4,2024-03-29,202436,N.P,0.0,25000.0
جرين بوينت - باقي حساب شهر 2 بشيك رقم 849 تاريخ 30/4,2024-03-29,202438,N.P,0.0,25524.0
