dis,date,jv number,jv,credit,debit
دفعه,2024-03-02,202439,Receipts,8000.0,0.0
دفعه في الاستور,2024-03-02,2024580,G.Ledger,2000.0,0.0
دفعه,2024-03-03,202440,Receipts,210.0,0.0
شيك بهر الله رقم 840 بتاريخ 21/3,2024-03-04,2024614,G.Ledger,15000.0,0.0
اقفال حساب مصطفي الهدي,2024-03-04,2024615,G.Ledger,9355.0,0.0
دفعه,2024-03-04,202441,Receipts,7100.0,0.0
دفعه في المكتب ليديزل,2024-03-04,2024635,G.Ledger,2000.0,0.0
دفعع كاش,2024-03-05,202443,Receipts,660.0,0.0
تحويل اال حمدان,2024-03-06,2024632,G.Ledger,15000.0,0.0
دفعه,2024-03-06,202442,Receipts,22200.0,0.0
شيك شهر 2 رقم 841  بتاريخ 8/5/2024,2024-03-06,2024625,G.Ledger,52542.0,0.0
خصم بضاعه القطريه اللبنانيه,2024-03-07,2024633,G.Ledger,6715.0,0.0
دفعه,2024-03-07,202444,Receipts,2200.0,0.0
-,2024-03-09,202445,Receipts,950.0,0.0
دفعه ديزل بيد محمود احمد,2024-03-09,2024634,G.Ledger,2000.0,0.0
اقفال مشتريات الحكمه سبار,2024-03-09,2024715,G.Ledger,82758.0,0.0
دفعه,2024-03-10,202446,Receipts,1030.0,0.0
دفعه بيد محمود احمد,2024-03-10,2024656,G.Ledger,2000.0,0.0
دفعه,2024-03-11,202447,Receipts,90.0,0.0
تحويل,2024-03-11,2024654,G.Ledger,300.0,0.0
دفعه,2024-03-12,202448,Receipts,7400.0,0.0
دفعة من محمود,2024-03-13,202449,Receipts,5270.0,0.0
دفعه,2024-03-14,202450,Receipts,8500.0,0.0
خصم سليم هندي,2024-03-14,2024668,G.Ledger,15480.0,0.0
دفعه من فاتوره البطاطا الي حمدي ثابت,2024-03-14,2024669,G.Ledger,5500.0,0.0
دفعه كاش,2024-03-14,2024670,G.Ledger,20000.0,0.0
دفعه,2024-03-16,202451,Receipts,110.0,0.0
دفعه,2024-03-17,202452,Receipts,2200.0,0.0
دفعه,2024-03-18,202453,Receipts,594.0,0.0
دفعه كاش في المكتب,2024-03-18,2024679,G.Ledger,10000.0,0.0
دفعه بيد شرف,2024-03-18,2024744,G.Ledger,6000.0,0.0
دفعه,2024-03-19,202454,Receipts,11120.0,0.0
دفعه,2024-03-20,202455,Receipts,3560.0,0.0
دفعه,2024-03-21,202456,Receipts,580.0,0.0
دفعه,2024-03-23,202457,Receipts,1555.0,0.0
دفعه,2024-03-25,202458,Receipts,130.0,0.0
دفعة الى رنا ومحمد علي,2024-03-26,202459,Receipts,6200.0,0.0
اقفال حساب بسام عند الحكمه,2024-03-26,2024751,G.Ledger,47890.0,0.0
تحويل لي  كوبر,2024-03-26,2024752,G.Ledger,10000.0,0.0
اقفال حساب جبل الفواكيه بيشيك رقم 845 تاريخ 4-4-2024,2024-03-26,2024745,G.Ledger,10458.0,0.0
دفعه من الاستور,2024-03-27,2024761,G.Ledger,1000.0,0.0
دفعه الي سيف,2024-03-27,2024765,G.Ledger,1500.0,0.0
دفعه الي  محمود,2024-03-27,2024766,G.Ledger,4000.0,0.0
دفعه,2024-03-27,202460,Receipts,5850.0,0.0
شيك القمه عن شهر 2 بتاريخ 11/5/2024,2024-03-27,2024750,G.Ledger,67143.0,0.0
دفعه,2024-03-28,202461,Receipts,3060.0,0.0
فواتير نيت و  هاتف,2024-03-28,2024767,G.Ledger,1000.0,0.0
الهمه 3دفعه كاش,2024-03-28,2024753,G.Ledger,15000.0,0.0
شيك اجرين بوينت رقم 849 عن شهر 2 تاريخ 30/4/2024,2024-03-29,2024756,G.Ledger,25524.0,0.0
دفعه 3000 سيرفيس جليل +1000 ديزل  من علي في الاستور,2024-03-29,2024762,G.Ledger,4000.0,0.0
شيك اجرين بوينت رقم 848عن شهر 2 تاريخ 17/4/2024,2024-03-29,2024756,G.Ledger,25524.0,0.0
فاتوره يوم 30 من الهمه,2024-03-30,2024814,G.Ledger,217.0,0.0
