dis,date,jv number,jv,credit,debit
دفعه بيد هشام,2024-03-01,2024581,G.Ledger,0.0,6000.0
دفعه بيد هشام,2024-03-03,2024610,G.Ledger,0.0,4900.0
دفعه بيد هشام,2024-03-04,2024622,G.Ledger,0.0,5000.0
CHEQUE LULU 01015335,2024-03-05,2024628,G.Ledger,0.0,106869.9
شيك كرفور  رقم363710  من 25/12/2023 الي 22/1/2024,2024-03-06,2024619,G.Ledger,0.0,815960.65
قيمه بصل الحكمه من سي ار  205*59,2024-03-12,2024655,G.Ledger,0.0,12095.0
تحويل سبار بتاريخ 14/3 عن النص الاول من شهر 1,2024-03-14,2024658,G.Ledger,0.0,120690.95
CHEQUE LULU 16/2 TO 29/2 NO.01015524,2024-03-19,2024737,G.Ledger,0.0,147135.73
تحويل سبار  عن النص الثاني من شهر 1,2024-03-26,2024749,G.Ledger,0.0,115086.17
اقفال ديزل شهر 3 جليل + 3000 سيرفيس,2024-03-31,2024760,G.Ledger,0.0,5400.0
